season;round;date;time;location;team1;team2;result1;result2;attendance
2012-2013;9.0;2012.09.30;16:30;Albert Flórián Stadion;Ferencvárosi TC;Diósgyőri VTK;2.0;0.0;5400.0
2012-2013;9.0;2012.09.30;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Újpest FC;1.0;3.0;2500.0
2012-2013;8.0;2012.09.21;17:00;Rohonci úti Stadion;Szombathelyi Haladás;MTK Budapest FC;3.0;0.0;4500.0
2012-2013;8.0;2012.09.21;19:00;DVTK Stadion;Diósgyőri VTK;MVM-Paks;1.0;0.0;5000.0
2012-2013;8.0;2012.09.22;14:00;Szusza Ferenc Stadion;Újpest FC;Kecskeméti TE-Phoenix Mecano;2.0;1.0;2500.0
2012-2013;8.0;2012.09.22;16:00;DVTK Stadion;Egri FC;Debreceni VSC-TEVA;1.0;0.0;200.0
2012-2013;8.0;2012.09.22;16:00;Bozsik Stadion;Budapest Honvéd FC;Kaposvári Rákóczi FC;5.0;3.0;1500.0
2012-2013;8.0;2012.09.22;18:30;Perutz Stadion;Lombard Pápa Termál FC;Pécsi Mecsek FC-Matias;1.0;2.0;1000.0
2012-2013;8.0;2012.09.23;16:30;Sóstói Stadion;Videoton FC;Győri ETO FC;0.0;1.0;3680.0
2012-2013;8.0;2012.09.23;18:30;Révész Géza utcai Stadion;FGSz Siófok;Ferencvárosi TC;0.0;0.0;4000.0
2012-2013;7.0;2012.09.14;17:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Újpest FC;0.0;0.0;2500.0
2012-2013;7.0;2012.09.14;19:00;Albert Flórián Stadion;Ferencvárosi TC;Szombathelyi Haladás;2.0;1.0;4500.0
2012-2013;7.0;2012.09.15;14:00;Sóstói Stadion;Videoton FC;Diósgyőri VTK;0.0;0.0;3522.0
2012-2013;7.0;2012.09.15;16:00;Fehérvári úti Stadion;MVM-Paks;FGSz Siófok;4.0;1.0;1000.0
2012-2013;7.0;2012.09.15;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Lombard Pápa Termál FC;1.0;2.0;800.0
2012-2013;7.0;2012.09.15;18:30;Hidegkuti Nándor Stadion;MTK Budapest FC;Egri FC;3.0;0.0;1000.0
2012-2013;7.0;2012.09.16;16:30;ETO Park;Győri ETO FC;Pécsi Mecsek FC-Matias;1.0;0.0;3000.0
2012-2013;7.0;2012.09.16;18:30;Oláh Gábor utcai Stadion;Debreceni VSC-TEVA;Budapest Honvéd FC;4.0;1.0;5500.0
2012-2013;6.0;2012.08.31;17:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Kecskeméti TE-Phoenix Mecano;0.0;1.0;1500.0
2012-2013;6.0;2012.08.31;19:00;Bozsik Stadion;Budapest Honvéd FC;MTK Budapest FC;1.0;2.0;2500.0
2012-2013;6.0;2012.09.01;14:00;DVTK Stadion;Diósgyőri VTK;Győri ETO FC;0.0;3.0;6000.0
2012-2013;6.0;2012.09.01;16:00;Oláh Gábor utcai Stadion;Egri FC;Ferencvárosi TC;2.0;2.0;2000.0
2012-2013;6.0;2012.09.01;16:00;Rohonci úti Stadion;Szombathelyi Haladás;MVM-Paks;1.0;2.0;4500.0
2012-2013;6.0;2012.09.01;18:30;Perutz Stadion;Lombard Pápa Termál FC;Kaposvári Rákóczi FC;3.0;0.0;2000.0
2012-2013;6.0;2012.09.02;16:30;Szusza Ferenc Stadion;Újpest FC;Debreceni VSC-TEVA;0.0;0.0;3617.0
2012-2013;6.0;2012.09.02;18:30;Révész Géza utcai Stadion;FGSz Siófok;Videoton FC;1.0;3.0;1500.0
2012-2013;5.0;2012.08.24;17:00;Fehérvári úti Stadion;MVM-Paks;Egri FC;0.0;1.0;800.0
2012-2013;5.0;2012.08.24;19:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Újpest FC;2.0;1.0;2000.0
2012-2013;5.0;2012.08.25;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Pécsi Mecsek FC-Matias;1.0;1.0;2500.0
2012-2013;5.0;2012.08.25;16:15;Albert Flórián Stadion;Ferencvárosi TC;Budapest Honvéd FC;0.0;2.0;4500.0
2012-2013;5.0;2012.08.25;18:30;ETO Park;Győri ETO FC;Kecskeméti TE-Phoenix Mecano;5.0;1.0;1500.0
2012-2013;5.0;2012.08.25;20:45;DVTK Stadion;Diósgyőri VTK;FGSz Siófok;2.0;1.0;5000.0
2012-2013;5.0;2012.08.26;16:30;Oláh Gábor utcai Stadion;Debreceni VSC-TEVA;Lombard Pápa Termál FC;1.0;0.0;3000.0
2012-2013;5.0;2012.08.26;18:30;Sóstói Stadion;Videoton FC;Szombathelyi Haladás;2.0;1.0;2480.0
2012-2013;4.0;2012.08.17;19:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Kaposvári Rákóczi FC;1.0;2.0;1000.0
2012-2013;4.0;2012.08.18;14:00;Rohonci úti Stadion;Szombathelyi Haladás;Diósgyőri VTK;0.0;0.0;5000.0
2012-2013;4.0;2012.08.18;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Debreceni VSC-TEVA;2.0;3.0;2400.0
2012-2013;4.0;2012.08.18;20:45;Révész Géza utcai Stadion;FGSz Siófok;Győri ETO FC;2.0;3.0;2000.0
2012-2013;4.0;2012.08.19;16:30;Perutz Stadion;Lombard Pápa Termál FC;MTK Budapest FC;0.0;2.0;500.0
2012-2013;4.0;2012.08.19;16:30;Szusza Ferenc Stadion;Újpest FC;Ferencvárosi TC;2.0;1.0;9827.0
2012-2013;4.0;2012.08.19;16:30;Bozsik Stadion;Budapest Honvéd FC;MVM-Paks;3.0;3.0;1500.0
2012-2013;4.0;2012.08.19;18:30;Sóstói Stadion;Videoton FC;Egri FC;2.0;1.0;2200.0
2012-2013;3.0;2012.08.10;17:00;ETO Park;Győri ETO FC;Kaposvári Rákóczi FC;2.0;1.0;2000.0
2012-2013;3.0;2012.08.10;19:00;Révész Géza utcai Stadion;FGSz Siófok;Szombathelyi Haladás;0.0;3.0;1000.0
2012-2013;3.0;2012.08.11;17:00;Oláh Gábor utcai Stadion;Debreceni VSC-TEVA;Kecskeméti TE-Phoenix Mecano;2.0;1.0;4500.0
2012-2013;3.0;2012.08.11;19:00;DVTK Stadion;Diósgyőri VTK;Egri FC;1.0;0.0;7000.0
2012-2013;3.0;2012.08.11;20:45;Albert Flórián Stadion;Ferencvárosi TC;Lombard Pápa Termál FC;4.0;1.0;3700.0
2012-2013;3.0;2012.08.12;15:30;Sóstói Stadion;Videoton FC;Budapest Honvéd FC;0.0;1.0;3520.0
2012-2013;3.0;2012.08.12;17:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Pécsi Mecsek FC-Matias;0.0;0.0;1000.0
2012-2013;3.0;2012.08.12;18:30;Fehérvári úti Stadion;MVM-Paks;Újpest FC;2.0;2.0;2000.0
2012-2013;2.0;2012.08.03;17:00;Perutz Stadion;Lombard Pápa Termál FC;MVM-Paks;0.0;0.0;1000.0
2012-2013;2.0;2012.08.03;19:00;Illovszky Rudolf Stadion;Egri FC;FGSz Siófok;1.0;1.0;300.0
2012-2013;2.0;2012.08.04;17:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Debreceni VSC-TEVA;1.0;0.0;2500.0
2012-2013;2.0;2012.08.04;19:00;ETO Park;Győri ETO FC;Szombathelyi Haladás;1.0;1.0;2500.0
2012-2013;2.0;2012.08.04;20:45;PMFC Stadion;Pécsi Mecsek FC-Matias;Ferencvárosi TC;0.0;0.0;5000.0
2012-2013;2.0;2012.08.05;15:30;Szusza Ferenc Stadion;Újpest FC;Videoton FC;0.0;1.0;3457.0
2012-2013;2.0;2012.08.05;17:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;MTK Budapest FC;1.0;1.0;1800.0
2012-2013;2.0;2012.08.05;18:30;Bozsik Stadion;Budapest Honvéd FC;Diósgyőri VTK;2.0;1.0;3000.0
2012-2013;1.0;2012.07.27;17:00;Rohonci úti Stadion;Szombathelyi Haladás;Egri FC;4.0;2.0;4000.0
2012-2013;1.0;2012.07.27;19:00;DVTK Stadion;Diósgyőri VTK;Újpest FC;2.0;1.0;10000.0
2012-2013;1.0;2012.07.28;17:00;Fehérvári úti Stadion;MVM-Paks;Pécsi Mecsek FC-Matias;2.0;3.0;1500.0
2012-2013;1.0;2012.07.28;19:00;Oláh Gábor utcai Stadion;Debreceni VSC-TEVA;Győri ETO FC;4.0;1.0;5000.0
2012-2013;1.0;2012.07.28;20:45;Albert Flórián Stadion;Ferencvárosi TC;Kecskeméti TE-Phoenix Mecano;1.0;1.0;7800.0
2012-2013;1.0;2012.07.29;15:30;Hidegkuti Nándor Stadion;MTK Budapest FC;Kaposvári Rákóczi FC;3.0;1.0;700.0
2012-2013;1.0;2012.07.29;17:00;Révész Géza utcai Stadion;FGSz Siófok;Budapest Honvéd FC;0.0;1.0;800.0
2012-2013;1.0;2012.07.29;18:30;Sóstói Stadion;Videoton FC;Lombard Pápa Termál FC;1.0;1.0;2274.0
2013-2014;30.0;2014.05.30;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Szombathelyi Haladás;1.0;1.0;1000.0
2013-2014;30.0;2014.05.31;16:00;Perutz Stadion;Lombard Pápa Termál FC;Újpest FC;2.0;1.0;1000.0
2013-2014;30.0;2014.05.31;18:00;Hidegkuti Nándor Stadion;MTK Budapest;Kaposvári Rákóczi FC;2.0;0.0;3000.0
2013-2014;30.0;2014.05.31;18:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Puskás Akadémia FC;1.0;2.0;1684.0
2013-2014;30.0;2014.05.31;20:00;Nagyerdei Stadion;Debreceni Vasutas SC-TEVA;Budapest Honvéd FC;0.0;2.0;20000.0
2013-2014;30.0;2014.05.31;20:00;Ménfői úti Sporttelep;Győri ETO FC;Mezőkövesd Zsóry FC;5.0;0.0;3300.0
2013-2014;30.0;2014.06.01;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;MVM-Paks;2.0;0.0;13689.0
2013-2014;30.0;2014.06.01;16:30;Sóstói Stadion;Videoton FC;Diósgyőri VTK;1.0;1.0;3461.0
2013-2014;29.0;2014.05.17;14:00;Bozsik Stadion;Budapest Honvéd FC;MTK Budapest;0.0;2.0;1150.0
2013-2014;29.0;2014.05.17;16:00;DVTK Stadion;Diósgyőri VTK;Pécsi Mecsek FC-Matias;3.0;0.0;3797.0
2013-2014;29.0;2014.05.17;16:00;Fehérvári úti Stadion;MVM-Paks;Lombard Pápa Termál FC;4.0;0.0;1000.0
2013-2014;29.0;2014.05.17;18:00;Szusza Ferenc Stadion;Újpest FC;Kecskeméti TE-Phoenix Mecano;6.0;1.0;1375.0
2013-2014;29.0;2014.05.17;20:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Győri ETO FC;0.0;5.0;2000.0
2013-2014;29.0;2014.05.18;16:30;Rohonci úti Stadion;Szombathelyi Haladás;Ferencvárosi TC;0.0;1.0;6126.0
2013-2014;29.0;2014.05.18;18:30;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Videoton FC;1.0;1.0;2000.0
2013-2014;29.0;2014.05.25;15:00;Pancho Aréna;Puskás Akadémia FC;Debreceni Vasutas SC-TEVA;0.0;1.0;2127.0
2013-2014;28.0;2014.05.09;19:00;Hidegkuti Nándor Stadion;MTK Budapest;Puskás Akadémia FC;2.0;1.0;1500.0
2013-2014;28.0;2014.05.10;14:00;Puskás Ferenc Stadion;Ferencvárosi TC;Diósgyőri VTK;2.0;1.0;11171.0
2013-2014;28.0;2014.05.10;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Mezőkövesd Zsóry FC;2.0;1.0;600.0
2013-2014;28.0;2014.05.10;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Lombard Pápa Termál FC;1.0;0.0;1980.0
2013-2014;28.0;2014.05.10;18:00;Sóstói Stadion;Videoton FC;Kaposvári Rákóczi FC;2.0;0.0;2466.0
2013-2014;28.0;2014.05.10;20:00;Nagyerdei Stadion;Debreceni Vasutas SC-TEVA;Újpest FC;3.0;1.0;20000.0
2013-2014;28.0;2014.05.11;16:30;ETO Park;Győri ETO FC;Budapest Honvéd FC;4.0;2.0;1500.0
2013-2014;28.0;2014.05.11;18:30;Rohonci úti Stadion;Szombathelyi Haladás;MVM-Paks;0.0;1.0;1122.0
2013-2014;27.0;2014.05.02;19:00;Fehérvári úti Stadion;MVM-Paks;Kecskeméti TE-Phoenix Mecano;2.0;0.0;1000.0
2013-2014;27.0;2014.05.03;14:00;Bozsik Stadion;Budapest Honvéd FC;Videoton FC;0.0;1.0;1000.0
2013-2014;27.0;2014.05.03;16:00;Szusza Ferenc Stadion;Újpest FC;MTK Budapest;0.0;4.0;1601.0
2013-2014;27.0;2014.05.03;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Pécsi Mecsek FC-Matias;0.0;2.0;1200.0
2013-2014;27.0;2014.05.03;18:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Ferencvárosi TC;0.0;1.0;4500.0
2013-2014;27.0;2014.05.03;20:00;Pancho Aréna;Puskás Akadémia FC;Győri ETO FC;0.0;1.0;3623.0
2013-2014;27.0;2014.05.04;16:30;DVTK Stadion;Diósgyőri VTK;Szombathelyi Haladás;1.0;1.0;2869.0
2013-2014;27.0;2014.05.04;18:30;Perutz Stadion;Lombard Pápa Termál FC;Debreceni Vasutas SC-TEVA;1.0;5.0;2000.0
2013-2014;26.0;2014.04.25;19:00;Puskás Ferenc Stadion;Ferencvárosi TC;Kaposvári Rákóczi FC;1.0;0.0;5344.0
2013-2014;26.0;2014.04.26;14:00;Pancho Aréna;Puskás Akadémia FC;Videoton FC;1.0;3.0;3633.0
2013-2014;26.0;2014.04.26;16:00;Rohonci úti Stadion;Szombathelyi Haladás;Mezőkövesd Zsóry FC;1.0;0.0;2420.0
2013-2014;26.0;2014.04.26;16:00;Hidegkuti Nándor Stadion;MTK Budapest;Lombard Pápa Termál FC;2.0;0.0;1000.0
2013-2014;26.0;2014.04.26;18:00;Oláh Gábor utcai Stadion;Debreceni VSC-TEVA;Kecskeméti TE-Phoenix Mecano;5.0;0.0;7500.0
2013-2014;26.0;2014.04.26;20:00;DVTK Stadion;Diósgyőri VTK;MVM-Paks;0.0;4.0;3935.0
2013-2014;26.0;2014.04.27;16:30;ETO Park;Győri ETO FC;Újpest FC;1.0;0.0;5000.0
2013-2014;26.0;2014.04.27;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Budapest Honvéd FC;1.0;0.0;600.0
2013-2014;25.0;2014.04.18;19:00;Sóstói Stadion;Puskás Akadémia FC;Pécsi Mecsek FC-Matias;1.0;1.0;200.0
2013-2014;25.0;2014.04.19;14:00;Perutz Stadion;Lombard Pápa Termál FC;Győri ETO FC;1.0;2.0;2000.0
2013-2014;25.0;2014.04.19;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;MTK Budapest;3.0;0.0;2120.0
2013-2014;25.0;2014.04.19;16:00;Fehérvári úti Stadion;MVM-Paks;Debreceni Vasutas SC-TEVA;0.0;0.0;1000.0
2013-2014;25.0;2014.04.19;18:00;Szusza Ferenc Stadion;Újpest FC;Videoton FC;1.0;2.0;2194.0
2013-2014;25.0;2014.04.19;20:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Szombathelyi Haladás;2.0;0.0;1200.0
2013-2014;25.0;2014.04.20;16:30;Bozsik Stadion;Budapest Honvéd FC;Ferencvárosi TC;0.0;2.0;4000.0
2013-2014;25.0;2014.04.20;18:30;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Diósgyőri VTK;0.0;1.0;5000.0
2013-2014;24.0;2014.04.11;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Újpest FC;0.0;0.0;1000.0
2013-2014;24.0;2014.04.12;14:00;Puskás Ferenc Stadion;Ferencvárosi TC;Puskás Akadémia FC;1.0;0.0;6952.0
2013-2014;24.0;2014.04.12;16:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;MVM-Paks;2.0;2.0;1500.0
2013-2014;24.0;2014.04.12;16:00;Sóstói Stadion;Videoton FC;Lombard Pápa Termál FC;2.0;2.0;2200.0
2013-2014;24.0;2014.04.12;18:00;DVTK Stadion;Diósgyőri VTK;Kaposvári Rákóczi FC;1.0;0.0;3905.0
2013-2014;24.0;2014.04.12;20:00;Hidegkuti Nándor Stadion;MTK Budapest;Debreceni Vasutas SC-TEVA;5.0;2.0;2500.0
2013-2014;24.0;2014.04.13;16:30;Rohonci úti Stadion;Szombathelyi Haladás;Budapest Honvéd FC;2.0;0.0;3020.0
2013-2014;24.0;2014.04.13;18:30;ETO Park;Győri ETO FC;Kecskeméti TE-Phoenix Mecano;2.0;1.0;2500.0
2013-2014;23.0;2014.04.04;17:00;Sóstói Stadion;Puskás Akadémia FC;Szombathelyi Haladás;1.0;2.0;200.0
2013-2014;23.0;2014.04.04;19:00;Szusza Ferenc Stadion;Újpest FC;Ferencvárosi TC;1.0;2.0;9517.0
2013-2014;23.0;2014.04.05;14:00;Bozsik Stadion;Budapest Honvéd FC;Diósgyőri VTK;1.0;2.0;1200.0
2013-2014;23.0;2014.04.05;16:00;Fehérvári úti Stadion;MVM-Paks;MTK Budapest;1.0;3.0;700.0
2013-2014;23.0;2014.04.05;16:00;Perutz Stadion;Lombard Pápa Termál FC;Pécsi Mecsek FC-Matias;1.0;0.0;800.0
2013-2014;23.0;2014.04.05;18:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Videoton FC;3.0;1.0;2218.0
2013-2014;23.0;2014.04.05;20:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Győri ETO FC;2.0;2.0;8500.0
2013-2014;23.0;2014.04.07;20:45;Rákóczi Stadion;Kaposvári Rákóczi FC;Mezőkövesd Zsóry FC;1.0;0.0;1000.0
2013-2014;22.0;2014.03.28;19:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Budapest Honvéd FC;1.0;0.0;2800.0
2013-2014;22.0;2014.03.29;14:00;DVTK Stadion;Diósgyőri VTK;Puskás Akadémia FC;2.0;3.0;4477.0
2013-2014;22.0;2014.03.29;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;MVM-Paksi FC;0.0;0.0;1200.0
2013-2014;22.0;2014.03.29;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Kecskeméti TE-Phoenix Mecano;0.0;0.0;2000.0
2013-2014;22.0;2014.03.29;18:00;Puskás Ferenc Stadion;Ferencvárosi TC;Lombard Pápa Termál FC;4.0;0.0;6122.0
2013-2014;22.0;2014.03.29;20:00;ETO Park;Győri ETO FC;MTK Budapest;3.0;0.0;2800.0
2013-2014;22.0;2014.03.30;16:30;Sóstói Stadion;Videoton FC;Debreceni Vasutas SC-TEVA;1.0;2.0;5232.0
2013-2014;22.0;2014.03.30;18:30;Rohonci úti Stadion;Szombathelyi Haladás;Újpest FC;1.0;0.0;3723.0
2013-2014;21.0;2014.03.21;19:00;Perutz Stadion;Lombard Pápa Termál FC;Szombathelyi Haladás;1.0;1.0;3000.0
2013-2014;21.0;2014.03.22;14:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Pécsi Mecsek FC-Matias;1.0;0.0;6500.0
2013-2014;21.0;2014.03.22;16:00;Hidegkuti Nándor Stadion;MTK Budapest;Videoton FC;1.0;2.0;2000.0
2013-2014;21.0;2014.03.22;16:00;Sóstói Stadion;Puskás Akadémia FC;Mezőkövesd Zsóry FC;4.0;0.0;500.0
2013-2014;21.0;2014.03.22;18:00;Bozsik Stadion;Budapest Honvéd FC;Kaposvári Rákóczi FC;1.0;0.0;2500.0
2013-2014;21.0;2014.03.22;20:00;Fehérvári úti Stadion;MVM-Paks;Győri ETO FC;1.0;2.0;1600.0
2013-2014;21.0;2014.03.23;16:30;Szusza Ferenc Stadion;Újpest FC;Diósgyőri VTK;2.0;0.0;4813.0
2013-2014;21.0;2014.03.23;18:30;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Ferencvárosi TC;0.0;0.0;4462.0
2013-2014;20.0;2014.03.14;17:00;Rohonci úti Stadion;Szombathelyi Haladás;Kecskeméti TE-Phoenix Mecano;1.0;0.0;2320.0
2013-2014;20.0;2014.03.14;19:00;DVTK Stadion;Diósgyőri VTK;Lombard Pápa Termál FC;2.0;1.0;4597.0
2013-2014;20.0;2014.03.16;14:30;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Újpest FC;0.0;1.0;2500.0
2013-2014;20.0;2014.03.16;16:30;PMFC Stadion;Pécsi Mecsek FC-Matias;MTK Budapest;1.0;0.0;1000.0
2013-2014;20.0;2014.03.16;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Debreceni Vasutas SC-TEVA;1.0;1.0;8179.0
2013-2014;20.0;2014.03.16;16:30;Rákóczi Stadion;Kaposvári Rákóczi FC;Puskás Akadémia FC;1.0;1.0;1500.0
2013-2014;20.0;2014.03.16;18:30;Sóstói Stadion;Videoton FC;Győri ETO FC;0.0;1.0;3050.0
2013-2014;20.0;2014.03.17;19:00;Bozsik Stadion;Budapest Honvéd FC;MVM-Paksi FC;1.0;1.0;1500.0
2013-2014;19.0;2014.03.07;19:00;Perutz Stadion;Lombard Pápa Termál FC;Mezőkövesd Zsóry FC;1.0;1.0;1200.0
2013-2014;19.0;2014.03.08;14:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Diósgyőri VTK;1.0;1.0;2382.0
2013-2014;19.0;2014.03.08;16:00;Sóstói Stadion;Puskás Akadémia FC;Budapest Honvéd FC;0.0;4.0;600.0
2013-2014;19.0;2014.03.08;16:00;Hidegkuti Nándor Stadion;MTK Budapest;Ferencvárosi TC;3.0;2.0;5000.0
2013-2014;19.0;2014.03.08;18:00;Szusza Ferenc Stadion;Újpest FC;Kaposvári Rákóczi FC;1.0;1.0;2311.0
2013-2014;19.0;2014.03.08;20:00;ETO Park;Győri ETO FC;Pécsi Mecsek FC-Matias;2.0;5.0;2500.0
2013-2014;19.0;2014.03.09;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Szombathelyi Haladás;2.0;0.0;6000.0
2013-2014;19.0;2014.03.09;18:30;Fehérvári úti Stadion;MVM-Paksi FC;Videoton FC;2.0;2.0;1000.0
2013-2014;18.0;2014.02.28;19:00;Sóstói Stadion;Puskás Akadémia FC;MVM-Paks;1.0;0.0;300.0
2013-2014;18.0;2014.03.01;14:00;Bozsik Stadion;Budapest Honvéd FC;Újpest FC;3.0;2.0;3500.0
2013-2014;18.0;2014.03.01;16:00;Rohonci úti Stadion;Szombathelyi Haladás;MTK Budapest;0.0;0.0;2480.0
2013-2014;18.0;2014.03.01;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Lombard Pápa Termál FC;1.0;1.0;1500.0
2013-2014;18.0;2014.03.01;18:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Videoton FC;1.0;1.0;2000.0
2013-2014;18.0;2014.03.01;20:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Kecskeméti TE-Phoenix Mecano;0.0;1.0;2000.0
2013-2014;18.0;2014.03.02;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Győri ETO FC;1.0;1.0;11228.0
2013-2014;18.0;2014.03.02;18:30;DVTK Stadion;Diósgyőri VTK;Debreceni Vasutas SC-TEVA;1.0;1.0;6067.0
2013-2014;17.0;2013.12.06;19:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Debreceni VSC-TEVA;2.0;2.0;2000.0
2013-2014;17.0;2013.12.07;14:00;Szusza Ferenc Stadion;Újpest FC;Puskás Akadémia FC;3.0;3.0;1230.0
2013-2014;17.0;2013.12.07;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Kaposvári Rákóczi FC;2.0;1.0;831.0
2013-2014;17.0;2013.12.07;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;MVM-Paks;1.0;1.0;1000.0
2013-2014;17.0;2013.12.07;18:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Diósgyőri VTK;2.0;2.0;1000.0
2013-2014;17.0;2013.12.07;20:00;Perutz Stadion;Lombard Pápa Termál FC;Budapest Honvéd FC;1.0;0.0;500.0
2013-2014;17.0;2013.12.08;16:30;Sóstói Stadion;Videoton FC;Ferencvárosi TC;2.0;3.0;4391.0
2013-2014;17.0;2013.12.08;18:30;ETO Park;Győri ETO FC;Szombathelyi Haladás;2.0;1.0;1700.0
2013-2014;16.0;2013.11.29;19:00;Bozsik Stadion;Budapest Honvéd FC;Kecskeméti TE-Phoenix Mecano;1.0;1.0;500.0
2013-2014;16.0;2013.11.30;14:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Debreceni VSC-TEVA;1.0;2.0;1500.0
2013-2014;16.0;2013.11.30;16:00;Sóstói Stadion;Puskás Akadémia FC;Lombard Pápa Termál FC;1.0;0.0;100.0
2013-2014;16.0;2013.11.30;16:00;Fehérvári úti Stadion;MVM-Paks;Újpest FC;2.0;4.0;1500.0
2013-2014;16.0;2013.11.30;18:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;MTK Budapest FC;1.0;0.0;2000.0
2013-2014;16.0;2013.11.30;20:00;Puskás Ferenc Stadion;Ferencvárosi TC;Pécsi Mecsek FC-Matias;1.0;2.0;3423.0
2013-2014;16.0;2013.12.01;16:30;DVTK Stadion;Diósgyőri VTK;Győri ETO FC;1.0;2.0;5080.0
2013-2014;16.0;2013.12.01;18:30;Rohonci úti Stadion;Szombathelyi Haladás;Videoton FC;1.0;1.0;2000.0
2013-2014;15.0;2013.11.22;19:00;Sóstói Stadion;Puskás Akadémia FC;Kecskeméti TE-Phoenix Mecano;2.0;2.0;100.0
2013-2014;15.0;2013.11.23;14:00;Bozsik Stadion;Budapest Honvéd FC;Debreceni VSC-TEVA;1.0;3.0;2000.0
2013-2014;15.0;2013.11.23;16:00;Rohonci úti Stadion;Szombathelyi Haladás;Pécsi Mecsek FC-Matias;1.0;3.0;1850.0
2013-2014;15.0;2013.11.23;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;MTK Budapest FC;2.0;2.0;1800.0
2013-2014;15.0;2013.11.23;18:00;Szusza Ferenc Stadion;Újpest FC;Lombard Pápa Termál FC;4.0;2.0;1338.0
2013-2014;15.0;2013.11.23;20:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Győri ETO FC;3.0;0.0;2200.0
2013-2014;15.0;2013.11.24;16:30;DVTK Stadion;Diósgyőri VTK;Videoton FC;2.0;2.0;5039.0
2013-2014;15.0;2013.11.24;18:30;Fehérvári úti Stadion;MVM-Paks;Ferencvárosi TC;2.0;2.0;3500.0
2013-2014;14.0;2013.11.08;19:00;Sóstói Stadion;Videoton FC;Mezőkövesd Zsóry FC;1.0;0.0;2305.0
2013-2014;14.0;2013.11.09;14:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Puskás Akadémia FC;2.0;1.0;3500.0
2013-2014;14.0;2013.11.09;16:00;Perutz Stadion;Lombard Pápa Termál FC;MVM-Paks;1.0;0.0;1000.0
2013-2014;14.0;2013.11.09;16:00;ETO Park;Győri ETO FC;Kaposvári Rákóczi FC;1.0;0.0;1400.0
2013-2014;14.0;2013.11.09;18:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Diósgyőri VTK;1.0;1.0;1200.0
2013-2014;14.0;2013.11.09;20:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Budapest Honvéd FC;1.0;1.0;1500.0
2013-2014;14.0;2013.11.10;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Szombathelyi Haladás;0.0;3.0;6758.0
